id_tienda,telefono_tienda,Ventas de abril
DX128024,917 058 733,3
DX128260,918 587 508,1
DX428903,605 200 001,2
LB128027,633 868 815,2
LB128943,916 082 066,2
DX128922,916 100 945,0
LB228051,633 751 913,4
LB228320,633 651 517,9
LBE10042,633 161 573,0
LBE10043,633 161 875,0
LBE10044,633 161 520,0
LBE10045,623 138 474,0
LM128018,636 480 313,5
LM128703,916 520 789,29
LM128850,916 561 321,21
LM128942,622 766 277,5
LM128980,633 721 524,18
LM228032,633 082 966,4
LM228041,622 650 482,10
LM228770,622 817 731,8
LM228939,622 406 240,1
LY128022,622 529 289,20
LY128029,623 474 657,20
LY128054,622 360 701,15
LY128222,622 360 384,13
LY128806,622 381 749,3
LY128916,622 934 473,22
BY828300,911 929 437,2
LM128911,633 824 464,6
BY328901,622 377 525,4
BY628019,915 023 486,0
LB128850,692 698 137,1
BY128039,639 210 096,1
BY228936,622 012 911,2
KH128340,918 084 180,0
KH228002,914 137 340,15
LB128032,915 456 566,3
LB128807,918 798 753,4
LB228017,622 054 121,5
LB228038,694 410 425,3
LM128028,622 173 555,2
LM128030,919 333 291,4
LM128820,622 592 576,6
LM228045,616 087 081,10
LB228521,622 069 570,0
LM228038,722 510 417,0
LB128938,916 450 452,2
LB228100,622 146 330,3
LY128020,682 105 788,4
TA128921,916 449 312,0
LB530500,698 914 273,0
LM130011,622 017 527,0
LM130203,968 528 105,2
LB130007,633 178 727,0
LB130110,868 718 223,0
LM130110,647 147 818,35
LM230009,968 717 874,0
LM230395,633 495 979,18
LM230813,693 810 105,16
LY130730,695 112 244,19
LB130800,622 848 165,6
LB130870,622 424 007,13
LB130880,622 242 727,7
LM130800,633 317 170,15
LB130201,601 189 982,0
LB130850,868 709 392,6
LM130320,868 705 122,0
LM130360,868 062 367,11
LB130510,968 794 468,5
LB130820,722 707 007,7
LB130520,622 166 999,3
LB130550,968 959 490,6
LM130565,968 939 392,9
LB630500,694 435 699,4
TA130500,968 613 828,0
LB130400,968 722 254,7
LBE10010,633 260 151,0
LB122400,974 209 197,0
LB150013,633 888 353,7
LB250600,976 662 373,0
LB150180,976 771 322,0
LM150018,976 743 459,32
LM150021,633 032 000,24
LB122300,974 209 020,10
LM222520,974 209 010,3
LB150014,876 459 103,2
DX250017,876 011 538,0
LB150007,876 444 333,2
LB150008,976 498 849,0
LB222003,974 210 706,7
LB250008,976 974 986,0
LB250010,876 452 072,0
LB250300,976 957 411,0
LM250002,876 282 853,0
LB144001,633 311 911,1
LM144600,978 209 263,2
LM150005,976 355 281,1
DX150017,976 531 898,3
BY115142,981 601 279,10
BY115680,981 681 057,6
KH136207,986 291 501,0
LB127001,982 251 197,0
LB132003,988 383 356,1
LB136970,986 724 530,3
LB215007,881 098 725,0
LM127003,982 219 831,12
LM136408,986 334 815,7
LM136680,986 571 579,1
BY215572,622 487 561,5
LB115404,881 099 163,4
LB136201,622 775 772,0
LY115703,633 785 256,21
LM115200,981 972 606,0
DX127004,982 210 721,0
DX415670,981 652 222,0
LB127869,670 524 477,0
LB215895,881 819 027,6
LM115220,633 422 260,6
BY215403,643 623 318,7
LB227780,982 877 517,20
LM136700,986 607 255,9
LB132001,722 888 175,6
LB136959,633 878 180,2
LM132003,988 508 631,14
LM132005,988 234 085,17
LB115701,981 599 322,7
LB136002,986 105 356,10
LB136213,986 113 841,4
LB136370,986 354 561,8
LB136600,886 305 743,0
LB136630,986 543 611,9
LB136900,986 892 096,5
LB136930,986 137 686,4
LM115930,981 845 921,10
LM115960,981 870 089,9
LM136001,986 857 046,16
LM136600,986 565 365,21
LB115006,622 775 772,4
LB115010,981 916 214,7
LB115100,638 772 918,24
LB127600,982 531 691,0
BY136205,986 123 695,0
BY336860,986 660 641,3
LB115570,881 936 242,11
LB132300,988 684 585,9
LM127400,982 403 651,19
LB152006,747 421 378,0
LB133011,985 283 696,13
LB133002,985 258 823,13
LB133429,633 572 104,2
LB233209,623 560 370,5
BY133930,985 690 447,5
BY533600,984 091 363,3
LB133013,984 281 504,2
LB233212,984 508 926,3
LB133400,985 562 443,12
BY133201,984 197 345,0
LB133007,985 081 227,3
LB133203,984 509 065,1
BY138350,822 148 740,6
BY138626,922 764 983,13
LB135004,828 719 392,0
LB135580,622 261 126,3
LB135600,928 855 529,12
LB138005,922 979 311,0
LB138107,922 979 311,0
LB138202,922 267 363,12
LB235400,660 703 704,9
LB238700,822 698 866,2
LB335110,928 095 651,4
LBE10029,633 224 244,0
LM135500,828 081 073,0
LM138760,922 403 994,3
LB138003,922 283 996,0
LB138650,922 975 954,1
LB235013,928 095 651,5
LM135509,928 822 762,28
LB135019,928 493 071,0
LB135212,928 576 021,8
LB138660,922 717 730,9
LB235110,928 125 246,7
LB238109,822 090 332,8
LB335600,722 503 020,13
LM135010,928 235 375,24
LM135018,928 557 588,21
LM135220,928 686 955,8
LM238005,822 049 166,58
LB135002,928 584 187,13
LB135210,928 692 490,24
LB138108,922 979 311,0
LB235460,928 580 840,5
LM138320,922 979 311,2
LM135510,928 524 728,0
LM238107,922 537 595,9
LM238300,922 320 674,12
LB135500,622 180 183,7
BY338204,822 173 024,18
LB238611,922 896 493,14
LB135007,633 881 744,0
LB138631,922 449 915,2
LM138312,722 239 996,9
LM338002,922 977 419,0
LM138530,922 506 576,7
LM126006,941 894 231,7
LM126002,941 809 935,3
LB226500,941 809 188,5
LBE10041,633 043 303,0
LM139011,942 419 173,0
LM139008,613 564 845,18
LM139300,622 350 982,34
LB139770,942 611 608,0
LB139007,942 051 940,1
BY108490,937 642 820,1
LB108302,622 476 012,1
LB108820,934 781 610,0
LB108840,722 808 840,0
LB108850,633 934 309,2
LB143820,977 103 301,4
LB243800,977 607 058,2
LBE10019,633 864 684,0
LM108901,936 399 312,19
LM225006,973 800 782,12
LM108210,937 298 621,17
LM108227,937 863 320,27
LM108228,691 187 914,18
LM108349,633 085 080,18
LM143201,977 590 348,0
LM208917,622 083 784,24
LM243005,622 764 499,16
LM243006,622 628 006,19
LM243203,622 078 203,19
LY108030,618 178 782,37
LM108908,633 888 491,21
LM108917,633 699 020,34
LM125007,973 096 184,26
LY117190,634 123 634,26
LBE10011,622 840 011,2
LB108304,651 081 811,5
LM108174,622 101 043,8
LM108243,622 661 492,32
LM108950,936 318 935,8
LY108019,722 760 355,22
LB108398,937 678 458,12
LB108905,934 493 249,11
LB108500,938 892 945,0
LB125008,973 300 575,11
LB125300,973 986 312,1
LB225230,973 096 340,2
LB108005,622 227 312,6
LB108870,936 250 974,1
LB143540,977 745 847,4
LB208024,931 467 130,2
LB208860,936 365 944,3
LB217200,722 390 142,2
LM117005,872 080 216,13
LM117820,972 519 040,0
BY108380,937 611 789,0
LB108110,656 970 400,0
LB108130,633 081 301,6
LB108208,937 177 779,4
LB108290,935 807 945,12
LB108291,622 088 291,2
LB108330,633 653 530,6
LB108370,937 045 933,13
LB108912,622 108 912,6
LB117250,972 825 590,2
LB117600,972 506 451,6
LB143202,622 343 202,6
LB208025,633 010 825,1
LB208620,622 098 260,9
LB208921,633 622 120,6
LB208922,663 248 229,5
LB208930,931 794 438,2
LB243840,633 338 930,9
LB243870,622 330 870,11
LM108100,613 381 008,5
LM108172,622 875 920,10
LM108191,622 208 191,23
LM108402,931 248 578,1
LM108830,931 473 707,9
LM108903,622 200 971,20
LM143700,633 902 000,9
LM208302,622 233 122,14
LM243001,622 443 008,11
LM243500,622 443 500,4
MD108221,619 410 303,15
BY117230,972 313 741,0
DX108201,937 203 691,7
LB108397,622 516 012,5
LB108640,931 479 860,0
LB108700,938 035 357,21
LB108720,933 805 694,9
LB108906,934 370 294,5
LB117300,622 566 012,8
LB308760,699 507 776,5
LM108240,931 869 218,0
